Date,PortfolioReturn
2015-01-02,-0.004505524201266756
2015-01-05,-0.017251622855290413
2015-01-06,-0.01727729400296312
2015-01-07,0.00877639260779824
2015-01-08,0.0160954751706064
2015-01-09,-0.010204489862740182
2015-01-12,-0.007640085271179543
2015-01-13,-9.647075641298527e-4
2015-01-14,-0.003233498550468541
2015-01-15,-0.015340954624374329
2015-01-16,0.017144301451682706
2015-01-20,-0.006484011185131858
2015-01-21,-8.704178578500703e-4
2015-01-22,0.02026167609087604
2015-01-23,-0.004306352619882737
2015-01-26,0.009639930575285059
2015-01-27,-0.0036408415070022767
2015-01-28,-0.017416924494500045
2015-01-29,0.012060291270761315
2015-01-30,-0.016791129180375446
2015-02-02,0.015065992353098107
2015-02-03,0.020455290432081025
2015-02-04,-0.006441233410935424
2015-02-05,0.015289476580113372
2015-02-06,-0.0012972924489630911
2015-02-09,-0.005114551081934162
2015-02-10,0.0023854779357062694
2015-02-11,-0.00313603179135601
2015-02-12,0.011583801690769252
2015-02-13,0.005938483620749718
2015-02-17,0.002434002800783699
2015-02-18,1.292215786363489e-4
2015-02-19,-8.790572248654466e-4
2015-02-20,0.0013500276843536848
2015-02-23,-0.002032991015970212
2015-02-24,0.0027370034367076284
2015-02-25,9.77272619333417e-4
2015-02-26,5.750798768269764e-4
2015-02-27,-0.002123731383728631
2015-03-02,0.006050116500935412
2015-03-03,-0.0056188647825011605
2015-03-04,-0.00434521697326717
2015-03-05,8.685141888869149e-4
2015-03-06,-0.0122206691184068
2015-03-09,0.005852618006107126
2015-03-10,-0.01306183291911986
2015-03-11,0.007099052716696712
2015-03-12,0.017209802595987034
2015-03-13,-0.004484887860212868
2015-03-16,0.002326518346451057
2015-03-17,0.0012844269850323063
2015-03-18,0.008748240670064607
2015-03-19,-0.0013869380258983
2015-03-20,0.012206579708856727
2015-03-23,9.400290106343586e-4
2015-03-24,-0.0015851996492371328
2015-03-25,-0.016652770975929453
2015-03-26,-0.0014438822030670593
2015-03-27,0.0031141647986166238
2015-03-30,0.013319778113882371
2015-03-31,-0.002014910800055193
2015-04-01,0.001443840475291886
2015-04-02,0.00505046178782695
2015-04-06,0.00601234890610476
2015-04-07,-0.006846556906767833
2015-04-08,0.004336788277317192
2015-04-09,-0.002649610196122308
2015-04-10,0.003918192415985615
2015-04-13,1.523189444749292e-4
2015-04-14,0.0019949281821711753
2015-04-15,0.00986346837509567
2015-04-16,-0.0027945878397358554
2015-04-17,-0.01620457195329638
2015-04-20,0.009372877771677064
2015-04-21,-0.0027659193043676677
2015-04-22,0.0010925731660697694
2015-04-23,0.0031220825115349047
2015-04-24,-0.0024223940631795463
2015-04-27,-0.004970162146367187
2015-04-28,0.008875838903220185
2015-04-29,-0.0067713068471431945
2015-04-30,-0.01535344864402843
2015-05-01,0.006195502076920177
2015-05-04,0.0025146554188475276
2015-05-05,-0.010726868649334606
2015-05-06,7.890511702800067e-4
2015-05-07,0.0012841196824800256
2015-05-08,0.006863277394397111
2015-05-11,7.552165557100461e-4
2015-05-12,-0.0016487921109371443
2015-05-13,-9.639654068777491e-5
2015-05-14,0.00814044513187347
2015-05-15,-0.0015902607603346481
2015-05-18,0.009485717475547597
2015-05-19,-0.003196711258185105
2015-05-20,0.0017570778925139084
2015-05-21,0.0015207498469179332
2015-05-22,-0.004173733023430301
2015-05-26,-0.012324207213224797
2015-05-27,0.009513459852968656
2015-05-28,5.091201018624711e-5
2015-05-29,-0.0061508648904688495
2015-06-01,0.0020640391762021698
2015-06-02,0.005656661095682837
2015-06-03,0.008988176722937212
2015-06-04,-0.00984625208866533
2015-06-05,0.0052194634399716335
2015-06-08,-0.005667723580534549
2015-06-09,-0.001788920222689876
2015-06-10,0.013762235990636707
2015-06-11,3.641469253529029e-4
2015-06-12,-0.0026530108016262276
2015-06-15,-0.005088998339823862
2015-06-16,0.0059496505190576015
2015-06-17,-0.002939405256359188
2015-06-18,0.00895875365677928
2015-06-19,8.133995162706027e-4
2015-06-22,0.00416757959854761
2015-06-23,0.00558448794624764
2015-06-24,-0.006968317102965006
2015-06-25,-0.0035212464624059226
2015-06-26,-5.154725385324198e-4
2015-06-29,-0.02421473588115723
2015-06-30,0.002380598590048765
2015-07-01,0.003239007886997868
2015-07-02,-0.00594100368841517
2015-07-06,-0.0023610170590335185
2015-07-07,7.291236762230296e-4
2015-07-08,-0.013527424800887188
2015-07-09,0.0024216525005228804
2015-07-10,0.012387848199923092
2015-07-13,0.008949471173990278
2015-07-14,0.005692839727879326
2015-07-15,-0.00852540600721069
2015-07-16,0.00345760146486971
2015-07-17,-0.006710549341711024
2015-07-20,-0.006534408286918791
2015-07-21,-0.003225354210322171
2015-07-22,8.402394419333622e-4
2015-07-23,-0.010809773143887244
2015-07-24,-0.012651190284449205
2015-07-27,-0.007261766296148616
2015-07-28,0.008138329427685427
2015-07-29,0.007612326977633683
2015-07-30,0.001071064947565523
2015-07-31,0.0024081798865922973
2015-08-03,-0.006731723162277908
2015-08-04,-0.0027168049655410618
2015-08-05,0.0015037148139250616
2015-08-06,-0.003464463320765818
2015-08-07,-0.007108345991196374
2015-08-10,0.017633237686957914
2015-08-11,-0.006887202450708517
2015-08-12,-5.496554225196712e-4
2015-08-13,-0.0036814629610115897
2015-08-14,0.007358288771552316
2015-08-17,0.006593538722053824
2015-08-18,-0.0070862437755336224
2015-08-19,-0.00896724528079136
2015-08-20,-0.020219333781629604
2015-08-21,-0.013451113751009037
2015-08-24,-0.03813347675181259
2015-08-25,-0.009378272434035953
2015-08-26,0.023167427291508624
