Month,PortfolioReturn
2013-02,0.0177789156957494
2013-03,0.0451435020601985
2013-04,-0.0037943913329134367
2013-05,0.05028545712119867
2013-06,-0.006147550474926101
2013-07,0.0655065337496653
2013-08,-0.03372036302913995
2013-09,0.055006072629199855
2013-10,0.03192044718846751
2013-11,0.043582286493283266
2013-12,0.025537645215871443
2014-01,-0.030662883990565635
2014-02,0.04854565715978518
2014-03,0.014774327440297571
2014-04,-0.02222343452078876
2014-05,0.012612198831338005
2014-06,0.05161983586648328
2014-07,-0.05494893159472559
2014-08,0.04441325646753151
2014-09,-0.059897661581082104
2014-10,0.06037231600625287
2014-11,-0.0036390825097979192
2014-12,0.023752691201014805
2015-01,-0.041988076119759604
2015-02,0.05872727007892189
2015-03,0.015536582850703562
2015-04,-0.005288279217066851
2015-05,0.009778159234439197
2015-06,-1.4026307905536838e-4
2015-07,-0.01853859340860132
2015-08,-0.039839341643137155
2015-09,-0.0439985660831432
2015-10,0.06138706498487052
2015-11,0.025728075683772125
2015-12,-0.05679522129837457
2016-01,-0.07541673716599603
2016-02,0.020685581217576996
2016-03,0.08663407232526422
2016-04,0.030325347629250175
2016-05,0.008671031443572176
2016-06,198.6111699853959
2016-07,0.05606075832534824
2016-08,0.026906668483397844
2016-09,0.009328073511503197
2016-10,-0.03304957530318584
2016-11,0.12908311757895807
2016-12,0.03652200901548088
2017-01,0.007438824556871709
2017-02,0.014835745031724386
2017-03,-0.0043491540305299605
2017-04,0.009943044039671162
2017-05,-0.03187775206932594
2017-06,0.03723890055343532
2017-07,0.01242351308279146
2017-08,-0.024003739663712283
2017-09,0.07768716557007502
2017-10,0.0077334834142199545
2017-11,0.03411515239869621
2017-12,-0.00429853898034751
2018-01,0.019691883139560495
2018-02,-0.045132857057664066
2018-03,0.014031498490907549
2018-04,0.007800456203002147
2018-05,0.06483110637403396
2018-06,0.012249015125792639
2018-07,0.012194511474780009
2018-08,0.033100599012138854
2018-09,-0.02021721920677256
2018-10,-0.09699711459670518
2018-11,0.01460030878925243
2018-12,-0.1239125311278212
2019-01,0.13078697159201985
2019-02,0.04883929466354023
2019-03,-0.025778282622769207
2019-04,0.04399664826353405
2019-05,-0.08186307944758278
2019-06,0.07406185580016213
2019-07,0.01267548437701334
2019-08,-0.054627233719610084
2019-09,0.0507984281482818
2019-10,0.012929366750672558
2019-11,0.027644303119567212
2019-12,0.03981383853483818
2020-01,-0.04619090267199353
2020-02,-0.10114476195552748
2020-03,-0.24567580217100426
2020-04,0.15786781921820803
2020-05,0.053159031589141245
2020-06,0.04337085137919073
2020-07,0.021498690346675235
2020-08,0.056965417473771755
2020-09,-0.05418331968378692
2020-10,0.023590266967231807
2020-11,0.8557060926300403
2020-12,0.08799208646197813
2021-01,0.04806655778205626
2021-02,0.11109714648918066
2021-03,0.043782098909628045
2021-04,0.02005341209608196
2021-05,0.015749866332461296
2021-06,-0.0013271655634836653
2021-07,-0.026998166117210023
2021-08,0.01805371528527213
2021-09,0.015374219194805727
2021-10,0.036024878584248014
2021-11,-0.02827534365670037
2021-12,0.04735416240185242
2022-01,-0.05656561399744683
2022-02,0.007724397199900125
2022-03,-0.0011299986383646486
2022-04,-0.07691725380516022
2022-05,0.008333537145733007
2022-06,-0.09300288361166101
2022-07,0.10080658388441749
2022-08,-0.042766176244733105
2022-09,-0.11326731089132008
2022-10,0.117685679015879
2022-11,0.0460736493308637
2022-12,-0.07083677939933776
