Date;monthly.returns;;;(Intercept);`Mkt-RF`;SMB;HML
30.06.1933;13.1742682454263;;;-0,140240369;0,88189611;0,728891115;0,131768271
31.07.1933;-8.79926720049119;;;-0,203724922;0,861103449;0,487631914;0,421009755
31.08.1933;11.4572901022693;;;0,219183527;0,873929543;0,161261332;0,347152812
30.09.1933;-12.3534703941315;;;0,39720288;0,785871923;0,886178106;0,62471879
31.10.1933;-7.81893218110118;;;0,032062313;0,969512981;0,508351742;0,14963399
30.11.1933;10.2678579506369;;;0,247045153;1,125860515;0,525668623;0,264044093
31.12.1933;0.910932707949508;;;0,041223398;0,844755282;0,405410443;0,076644234
31.01.1934;12.0361060895212;;;0,477440467;0,96712857;0,722038755;0,439951241
28.02.1934;-3.67054471451841;;;0,310581545;0,772978119;0,864929644;0,238765942
31.03.1934;-1.3011184046908;;;0,713755344;0,80896764;0,372986581;0,035530692
30.04.1934;-1.50658991653734;;;0,47558241;0,844282722;0,719372039;0,112062882
31.05.1934;-8.12619864598306;;;0,305317606;0,848678551;0,774834931;0,367994087
30.06.1934;2.08117346602077;;;0,401949849;0,813074586;0,493240422;0,414167778
31.07.1934;-11.5188589817111;;;-0,230202665;1,095188777;0,989119474;0,320912862
31.08.1934;5.41473844274218;;;0,502939787;0,872510878;0,529455481;-0,017924777
30.09.1934;-0.765024019044303;;;-0,140664116;1,081875262;0,984171784;0,407585106
31.10.1934;-2.97356284535246;;;0,457340429;0,575483913;0,965722546;0,156371248
30.11.1934;8.28603300189275;;;0,017330217;0,953167235;0,971724519;0,35864837
31.12.1934;-0.419286813553177;;;-0,323035807;0,98511861;0,829433795;0,259171482
31.01.1935;-4.21052230031866;;;0,458647971;0,802860768;0,62288932;0,320189096
28.02.1935;-3.95605049736734;;;0,666951592;1,065912246;1,183283178;0,874217036
31.03.1935;-3.31807745363277;;;-0,140815671;1,153905744;0,432339122;0,533696047
30.04.1935;9.82248452592849;;;0,669647853;0,828980133;0,513571886;0,35174887
31.05.1935;3.23276076904382;;;-0,487405498;0,867974932;0,413808808;-0,084012198
30.06.1935;6.88935128046209;;;0,046489372;1,194736772;0,666095015;0,471812444
31.07.1935;8.2031266734703;;;0,164871518;0,870280189;0,598949823;0,67540736
31.08.1935;1.44404195409591;;;0,373120922;1,32288833;0,651591245;0,467902159
30.09.1935;3.11388246082596;;;0,437409937;0,599459743;0,272076915;0,011001491
31.10.1935;7.5064700095351;;;-0,344902808;1,330071367;0,593208436;0,573774915
30.11.1935;3.85232376217322;;;0,136455938;0,573004908;0,17738922;0,398485401
